"Row"	"Column"	"Gene"
9	21	"C1C1 rho c1e1 pr27"
9	22	"C1C1 rho c1e1 pr27"
9	23	"C1C1 rho c1e1 pr27"
9	24	"C1C1 rho c1e1 pr27"
9	25	"C1C1 rho c1e1 pr28"
9	26	"C1C1 rho c1e1 pr28"
9	27	"C1C1 rho c1e1 pr28"
9	28	"C1C1 rho c1e1 pr28"
9	29	"C1C1 rho c1e1 pr28"
9	30	"C1C1 rho c1e1 pr28"
9	31	"C1C1 rho c1e1 pr28"
9	32	"C1C1 rho c1e1 pr28"
9	33	"C1C1 rho c1e1 pr29"
9	34	"C1C1 rho c1e1 pr29"
9	35	"C1C1 rho c1e1 pr29"
9	36	"C1C1 rho c1e1 pr29"
9	37	"C1C1 rho c1e1 pr29"
9	38	"C1C1 rho c1e1 pr29"
9	39	"C1C1 rho c1e1 pr29"
9	40	"C1C1 rho c1e1 pr29"
9	41	"C1C1 rho c1e1 pr30"
9	42	"C1C1 rho c1e1 pr30"
9	43	"C1C1 rho c1e1 pr30"
9	44	"C1C1 rho c1e1 pr30"
9	45	"C1C1 rho c1e1 pr30"
9	46	"C1C1 rho c1e1 pr30"
9	47	"C1C1 rho c1e1 pr30"
9	48	"C1C1 rho c1e1 pr30"
10	1	"C1C1 rho c1e1 pr25"
10	2	"C1C1 rho c1e1 pr25"
10	3	"C1C1 rho c1e1 pr25"
10	4	"C1C1 rho c1e1 pr25"
10	5	"C1C1 rho c1e1 pr25"
10	6	"C1C1 rho c1e1 pr25"
10	7	"C1C1 rho c1e1 pr25"
10	8	"C1C1 rho c1e1 pr25"
10	9	"C1C1 rho c1e1 pr26"
10	10	"C1C1 rho c1e1 pr26"
10	11	"C1C1 rho c1e1 pr26"
10	12	"C1C1 rho c1e1 pr26"
10	13	"C1C1 rho c1e1 pr26"
10	14	"C1C1 rho c1e1 pr26"
10	15	"C1C1 rho c1e1 pr26"
10	16	"C1C1 rho c1e1 pr26"
10	17	"C1C1 rho c1e1 pr27"
10	18	"C1C1 rho c1e1 pr27"
10	19	"C1C1 rho c1e1 pr27"
10	20	"C1C1 rho c1e1 pr27"
10	21	"C1C1 rho c1e1 pr27"
10	22	"C1C1 rho c1e1 pr27"
10	23	"C1C1 rho c1e1 pr27"
10	24	"C1C1 rho c1e1 pr27"
10	25	"C1C1 rho c1e1 pr28"
10	26	"C1C1 rho c1e1 pr28"
10	27	"C1C1 rho c1e1 pr28"
10	28	"C1C1 rho c1e1 pr28"
10	29	"C1C1 rho c1e1 pr28"
10	30	"C1C1 rho c1e1 pr28"
10	31	"C1C1 rho c1e1 pr28"
10	32	"C1C1 rho c1e1 pr28"
10	33	"C1C1 rho c1e1 pr29"
10	34	"C1C1 rho c1e1 pr29"
10	35	"C1C1 rho c1e1 pr29"
10	36	"C1C1 rho c1e1 pr29"
10	37	"C1C1 rho c1e1 pr29"
